,sampling_week,effective_concentration_rolling_average,region,state,name,fipscode
0,2020-01-01,134.84196356544973,Midwest,IL,"Peoria County, IL",17143
1,2020-01-15,0.0,Northeast,MA,"Suffolk County, MA",25025
2,2020-01-22,0.0,Northeast,MA,"Suffolk County, MA",25025
3,2020-01-29,0.0,Northeast,MA,"Suffolk County, MA",25025
4,2020-02-05,0.0,Northeast,MA,"Suffolk County, MA",25025
5,2020-02-12,0.0,Northeast,MA,"Suffolk County, MA",25025
6,2020-02-19,0.0,West,CA,"San Luis Obispo County, CA",6079
7,2020-02-19,0.0,Northeast,MA,"Suffolk County, MA",25025
8,2020-02-26,0.0,Northeast,MA,"Suffolk County, MA",25025
9,2020-03-04,1.4501821146335496,Northeast,MA,"Suffolk County, MA",25025
10,2020-03-11,12.590344274524805,Northeast,MA,"Suffolk County, MA",25025
11,2020-03-18,58.02332206210307,Northeast,MA,"Suffolk County, MA",25025
12,2020-03-25,36.63175022442091,West,CO,"Arapahoe County, CO",8005
13,2020-03-25,4051.5508687158094,Northeast,NJ,"Essex County, NJ",34013
14,2020-03-25,62.42551698640013,South,FL,"Miami-Dade County, FL",12086
16,2020-03-25,0.0,Midwest,IN,"Steuben County, IN",18151
17,2020-03-25,159.45481288512028,Northeast,MA,"Suffolk County, MA",25025
18,2020-04-01,2433.387971938409,Northeast,NJ,"Essex County, NJ",34013
19,2020-04-01,29.605173288581067,Northeast,MA,"Hampshire County, MA",25015
20,2020-04-01,141.4443029905402,South,FL,"Miami-Dade County, FL",12086
21,2020-04-01,0.0,West,CA,"Placer County, CA",6061
22,2020-04-01,28.40787898588417,Northeast,MA,"Plymouth County, MA",25023
23,2020-04-01,0.0,West,CA,"San Luis Obispo County, CA",6079
24,2020-04-01,241.0907816895832,Northeast,MA,"Suffolk County, MA",25025
25,2020-04-01,0.0,West,OR,"Yamhill County, OR",41071
26,2020-04-08,289.53208613264303,West,OR,"Deschutes County, OR",41017
27,2020-04-08,5442.737621112327,Northeast,NJ,"Essex County, NJ",34013
28,2020-04-08,49.11110891454206,Northeast,MA,"Hampshire County, MA",25015
29,2020-04-08,0.0,South,KY,"Harrison County, KY",21097
30,2020-04-08,7.466506283123856,Northeast,PA,"Indiana County, PA",42063
31,2020-04-08,58.4313640229758,South,KY,"Jefferson County, KY",21111
32,2020-04-08,107.43382056765712,South,FL,"Miami-Dade County, FL",12086
33,2020-04-08,0.0,West,MT,"Park County, MT",30067
35,2020-04-08,0.0,West,CA,"Placer County, CA",6061
36,2020-04-08,0.0,Midwest,IN,"Steuben County, IN",18151
37,2020-04-08,388.8329419414601,Northeast,MA,"Suffolk County, MA",25025
38,2020-04-08,0.0,West,OR,"Yamhill County, OR",41071
39,2020-04-15,133.90464520394494,West,CO,"Arapahoe County, CO",8005
40,2020-04-15,110.09117224446322,West,OR,"Deschutes County, OR",41017
41,2020-04-15,7436.673098271279,Northeast,NJ,"Essex County, NJ",34013
42,2020-04-15,39.93158110446133,Northeast,CT,"Fairfield County, CT",9001
43,2020-04-15,109.06590279162816,Northeast,MA,"Hampshire County, MA",25015
44,2020-04-15,0.0,South,KY,"Harrison County, KY",21097
45,2020-04-15,18.374089195358746,Northeast,PA,"Indiana County, PA",42063
46,2020-04-15,177.70117813763218,South,KY,"Jefferson County, KY",21111
47,2020-04-15,69.4481640691118,South,FL,"Miami-Dade County, FL",12086
48,2020-04-15,61.29796979867197,Northeast,PA,"Montgomery County, PA",42091
49,2020-04-15,158.60874080750915,South,DE,"New Castle County, DE",10003
50,2020-04-15,41.18705696331425,South,OK,"Oklahoma County, OK",40109
51,2020-04-15,0.0,West,MT,"Park County, MT",30067
52,2020-04-15,131.8856279987382,Midwest,IL,"Peoria County, IL",17143
53,2020-04-15,0.0,West,CA,"Placer County, CA",6061
54,2020-04-15,1959.4339742109023,Northeast,MA,"Plymouth County, MA",25023
55,2020-04-15,14.791229930965391,Midwest,IN,"Steuben County, IN",18151
56,2020-04-15,390.884567070453,Northeast,MA,"Suffolk County, MA",25025
57,2020-04-15,0.0,West,WY,"Teton County, WY",56039
58,2020-04-15,0.0,West,OR,"Yamhill County, OR",41071
59,2020-04-15,18.10472063553101,West,AZ,"Yavapai County, AZ",4025
60,2020-04-22,199.08795053398367,West,OR,"Deschutes County, OR",41017
61,2020-04-22,8837.006177770516,Northeast,NJ,"Essex County, NJ",34013
62,2020-04-22,29.690885901473774,Northeast,CT,"Fairfield County, CT",9001
63,2020-04-22,397.7609950756653,Northeast,MA,"Hampshire County, MA",25015
64,2020-04-22,0.0,South,KY,"Harrison County, KY",21097
65,2020-04-22,1149.1768624693143,Midwest,MN,"Hennepin County, MN",27053
66,2020-04-22,4.484951214144339,Northeast,PA,"Indiana County, PA",42063
67,2020-04-22,329.78510311693174,South,KY,"Jefferson County, KY",21111
68,2020-04-22,86.25278442979413,South,FL,"Miami-Dade County, FL",12086
69,2020-04-22,370.9220411899653,Northeast,PA,"Montgomery County, PA",42091
70,2020-04-22,2292.034065682256,Northeast,NY,"Nassau County, NY",36059
71,2020-04-22,449.1985449040608,South,DE,"New Castle County, DE",10003
72,2020-04-22,16.21725834702813,South,OK,"Oklahoma County, OK",40109
73,2020-04-22,0.0,West,MT,"Park County, MT",30067
74,2020-04-22,126.37733532300632,Midwest,IL,"Peoria County, IL",17143
75,2020-04-22,0.0,West,CA,"Placer County, CA",6061
76,2020-04-22,7612.126376627612,Northeast,MA,"Plymouth County, MA",25023
77,2020-04-22,560.6598189125544,South,VA,"Stafford County, VA",51179
